lm_code,on_hand,counted_at,notes
LM002-GC,874,,From Mini_Count_vs_Need.xlsx
LM003-GC,822,,From Mini_Count_vs_Need.xlsx
LM004-GC,1566,,From Mini_Count_vs_Need.xlsx
LM004-PC,100,,From Mini_Count_vs_Need.xlsx
LM005-BL,,,Not counted yet
LM006-BL,,,Not counted yet
LM006-GC,,,Not counted yet
LM007-BL,,,Not counted yet
LM008-PM,,,Not counted yet
LM009-PM,,,Not counted yet
LM010-GC,,,Not counted yet
LM010-PM,,,Not counted yet
LM012-PC,200,,From Mini_Count_vs_Need.xlsx
LM013-PC,20,,From Mini_Count_vs_Need.xlsx
LM016-PC,,,Not counted yet
LM021-GC,94,,From Mini_Count_vs_Need.xlsx
LM021-PC,,,Not counted yet
LM022-PC,210,,From Mini_Count_vs_Need.xlsx
LM023-GC,237,,From Mini_Count_vs_Need.xlsx
LM033-PC,,,Not counted yet
LM034-PC,291,,From Mini_Count_vs_Need.xlsx
LM035-PM,,,Not counted yet
LM036-PM,100,,From Mini_Count_vs_Need.xlsx
LM037-PM,,,Not counted yet
LM039-PM,,,Not counted yet
LM041-GR,,,Not counted yet
LM042-GC,105,,From Mini_Count_vs_Need.xlsx
LM043-GC,,,Not counted yet
LM045-GC,160,,From Mini_Count_vs_Need.xlsx
LM049-AW,,,Not counted yet
LM049-GC,700,,From Mini_Count_vs_Need.xlsx
LM054-PC,200,,From Mini_Count_vs_Need.xlsx
LM055-PM,,,Not counted yet
LM055-SP,520,,From Mini_Count_vs_Need.xlsx
LM056-SP,764,,From Mini_Count_vs_Need.xlsx
LM057-SP,770,,From Mini_Count_vs_Need.xlsx
LM058-PC,23,,From Mini_Count_vs_Need.xlsx
LM062-GC,148,,From Mini_Count_vs_Need.xlsx
LM063-GR,658,,From Mini_Count_vs_Need.xlsx
LM066-GR,,,Not counted yet
LM067-GR,20,,From Mini_Count_vs_Need.xlsx
LM068-GC,57,,From Mini_Count_vs_Need.xlsx
LM080-GC,720,,From Mini_Count_vs_Need.xlsx
LM081-GC,71,,From Mini_Count_vs_Need.xlsx
LM082-GC,85,,From Mini_Count_vs_Need.xlsx
LM082-PC,100,,From Mini_Count_vs_Need.xlsx
LM083-GR,,,Not counted yet
LM084-GC,,,Not counted yet
LM085-PC,100,,From Mini_Count_vs_Need.xlsx
LM086-PC,110,,From Mini_Count_vs_Need.xlsx
LM087-AW,,,Not counted yet
LM088-PM,275,,From Mini_Count_vs_Need.xlsx
LM092-GC,73,,From Mini_Count_vs_Need.xlsx
LM092-PC,245,,From Mini_Count_vs_Need.xlsx
LM093-AW,281,,From Mini_Count_vs_Need.xlsx
LM093-GC,,,Not counted yet
LM093-PC,273,,From Mini_Count_vs_Need.xlsx
LM093-PM,179,,From Mini_Count_vs_Need.xlsx
LM094-AW,43,,From Mini_Count_vs_Need.xlsx
LM097-PC,,,Not counted yet
LM098-AW,33,,From Mini_Count_vs_Need.xlsx
LM098-PC,,,Not counted yet
LM100-GR,,,Not counted yet
LM101-GC,1050,,From Mini_Count_vs_Need.xlsx
LM102-GC,410,,From Mini_Count_vs_Need.xlsx
LM103-GC,,,Not counted yet
LM104-PM,177,,From Mini_Count_vs_Need.xlsx
LM106-GC,390,,From Mini_Count_vs_Need.xlsx
LM109-PM,,,Not counted yet
LM110-PM,,,Not counted yet
LM112-AW,,,Not counted yet
LM115-PM,,,Not counted yet
LM117-GC,65,,From Mini_Count_vs_Need.xlsx
LM119-PC,21,,From Mini_Count_vs_Need.xlsx
LM121-CB,75,,From Mini_Count_vs_Need.xlsx
LM123-CB,175,,From Mini_Count_vs_Need.xlsx
LM124-CB,,,Not counted yet
