sku,product_name,product_type,flavor_code,flavor_name,flavor_category,label_code,cap_color,cubes_per_unit,case_sku,case_qty,include_in_plan,active,notes
SM001-GC,Rose,Mini,001,Rose,GC,LM001-GC,Rust,6,,,Y,Y,
SM002-GC,Vanilla,Mini,002,Vanilla,GC,LM002-GC,Rust,6,,,Y,Y,
SM004-GC,Salted Caramel,Mini,004,Salted Caramel,GC,LM004-GC,Rust,6,,,Y,Y,
SM006-BL,Peach Bellini,Mini,006,Peach Bellini,BL,LM006-BL,Cream,6,,,Y,Y,
SM007-BL,Raspberry Bellini,Mini,007,Raspberry Bellini,BL,LM007-BL,Cream,6,,,Y,Y,
SM008-PM,Shimmer Grapefruit,Mini,008,Shimmer Grapefruit,PM,LM008-PM,Cream,6,,,Y,Y,
SM009-PM,Arcadia Orange,Mini,009,Arcadia Orange,PM,LM009-PM,Cream,6,,,Y,Y,
SM010-PM,Shimmer Lemon,Mini,010,Shimmer Lemon,PM,LM010-PM,Cream,6,,,Y,Y,
SM011-PC,Moscow Mule,Mini,011,Moscow Mule,PC,LM011-PC,Green,6,,,Y,Y,
SM012-PC,Old Fashioned,Mini,012,Old Fashioned,PC,LM012-PC,Green,6,,,Y,Y,
SM013-PC,Manhattan,Mini,013,Manhattan,PC,LM013-PC,Green,6,,,Y,Y,
SM016-PC,Shimmer Cosmo,Mini,016,Shimmer Cosmo,PC,LM016-PC,Green,6,,,Y,Y,
SM023-GC,White Chocolate Mocha,Mini,023,White Chocolate Mocha,GC,LM023-GC,Rust,6,,,Y,Y,
SM024-GC,Classic Cocoa,Mini,024,Classic Cocoa,GC,LM024-GC,Rust,6,,,Y,Y,
SM034-PC,Espresso Martini,Mini,034,Espresso Martini,PC,LM034-PC,Green,6,,,Y,Y,
SM049-GC,Cinnamon Hazelnut,Mini,049,Cinnamon Hazelnut,GC,LM049-GC,Rust,6,,,Y,Y,
SM058-PC,Shimmer Lemon Drop,Mini,058,Shimmer Lemon Drop,PC,LM058-PC,Green,6,,,Y,Y,
SM119-PC,Kentucky Mule,Mini,119,Kentucky Mule,PC,LM119-PC,Green,6,,,Y,Y,
GS102,Champagne Bellini Cocktail Mixer Kit,Kit,,,,,,,C6-GS102,6,Y,Y,"🌲; YES (B2B), YES (DTC), YES (FAIRE)"
GS103,Bourbon Cocktail Mixer Kit,Kit,,,,,,,C6-GS103,6,Y,Y,"🌲; YES (B2B), YES (DTC), YES (FAIRE)"
GS104,Martini Classics Cocktail Mixer Kit,Kit,,,,,,,C6-GS104,6,Y,Y,"🌲; YES (B2B), YES (DTC), YES (FAIRE)"
GS105,Champagne Mimosa Cocktail Mixer Kit,Kit,,,,,,,C6-GS105,6,Y,Y,"🌲; YES (B2B), YES (DTC), YES (FAIRE)"
GS106,Coffee Classics Cafe Mixer Kit,Kit,,,,,,,C6-GS106,6,Y,Y,"🌲; YES (B2B), YES (DTC), YES (FAIRE)"
GS107,Tea Latte Classics Cafe Mixer Kit,Kit,,,,,,,C6-GS107,6,Y,Y,"🌲; YES (B2B), YES (DTC), YES (FAIRE)"
GS025,Matcha Kit,Kit,,,,,,,C6-GS025,6,Y,N,🌲✨; NOT LIVE
GS068,Afternoon Tee Time Cafe (white box),Kit,,,,,,,C6-GS068,6,Y,Y,"🌲✨; YES (B2B), YES (DTC), YES (FAIRE)"
GS069,Club House Coffee Cafe,Kit,,,,,,,C6-GS069,6,Y,Y,"🌲✨; YES (B2B), YES (DTC), YES (FAIRE)"
GS071,Aperitivo Spritz,Kit,,,,,,,C6-GS071,6,Y,Y,"🌲✨; YES (B2B), YES (DTC), YES (FAIRE)"
GS078,Cafe Dolce Cafe,Kit,,,,,,,C6-GS078,6,Y,Y,"🌲✨; YES (B2B), YES (DTC), YES (FAIRE)"
GS121,Apres Ski - Bourbon Toddy Trio,Kit,,,,,,,C6-GS121,6,Y,Y,"⛷️; YES (B2B), YES (DTC), YES (FAIRE)"
GS122,Apres Ski - Spritzer Kit,Kit,,,,,,,C6-GS122,6,Y,Y,"⛷️; YES (B2B), YES (DTC), YES (FAIRE)"
GS124,S'Mores Espresso Martini Kit,Kit,,,,,,,C6-GS124,6,Y,Y,"⛷️; YES (B2B), YES (DTC), YES (FAIRE)"
GS125,Champagne Chalet Trio,Kit,,,,,,,C6-GS125,6,Y,Y,"⛷️; YES (B2B), YES (DTC), YES (FAIRE)"
GS128,Cozy Cabin Coffee Trio,Kit,,,,,,,C6-GS128,6,Y,Y,"⛷️; YES (B2B), YES (DTC), YES (FAIRE)"
GS129,Winter Cocoa,Kit,,,,,,,C6-GS129,6,Y,Y,"⛷️; YES (B2B), WIP (FAIRE), NOT STARTED (DTC)"
GS127,Winter Lodge Mulled Wine Trio,Kit,,,,,,,C6-GS127,6,Y,Y,"⛷️; YES (B2B), YES (DTC), YES (FAIRE)"
GS120,Apres Ski - S'Mores Rum Toddy Kit,Kit,,,,,,,C6-GS120,6,Y,Y,"⛷️; DISCONTINUING, YES (FAIRE), YES (B2B), YES (DTC); marked xx in source"
GS123,Apres Ski - Sangria Kit,Kit,,,,,,,C6-GS123,6,Y,Y,"⛷️; DISCONTINUING, YES (FAIRE), YES (B2B), YES (DTC); marked xx in source"
GS126,Chai Eggnog Old Fashioned Kit,Kit,,,,,,,C6-GS126,6,Y,Y,"⛷️; DISCONTINUING, YES (FAIRE), YES (B2B), YES (DTC); marked xx in source"
GS141,**soda pop shop -- flavour trio,Kit,,,,,,,C6-GS141,6,Y,Y,"🇺🇸; YES (B2B), YES (DTC), YES (FAIRE)"
GS142,**lemonade stand -- flavour trio,Kit,,,,,,,C6-GS142,6,Y,Y,"🇺🇸; YES (B2B), YES (DTC), YES (FAIRE)"
GS143,"**red, white & blueberry spritz --  mixer trio",Kit,,,,,,,C6-GS143,6,Y,Y,"🇺🇸; YES (B2B), YES (DTC), YES (FAIRE)"
GS144,**berries & cream cold foam --  cafe mixer trio,Kit,,,,,,,C6-GS144,6,Y,Y,"🇺🇸; YES (B2B), YES (DTC), YES (FAIRE)"
GS145,**blueberry bourbon smash -- cocktail mixer kit,Kit,,,,,,,C6-GS145,6,Y,Y,"🇺🇸; YES (B2B), YES (DTC), YES (FAIRE)"
GS038,Champagne Crystal Kit (blush box),Kit,,,,,,,,,Y,N,🎀; NOT LIVE
GS051,Strawberry Rose Champagne Mixer Kit,Kit,,,,,,,C6-GS051,6,Y,N,🎀; NOT LIVE
GS064,Classic Espresso Martini  Mixer Kit,Kit,,,,,,,C6-GS064,6,Y,N,🎀; NOT LIVE
GS110,Hot Cocoa Mixer Kit,Kit,,,,,,,C6-GS110,6,Y,Y,"🎁; YES (B2B), YES (DTC), YES (FAIRE)"
GS111,White Chocolate Candy Cane Martini Mixer Kit,Kit,,,,,,,C6-GS111,6,Y,Y,"🎁; YES (B2B), YES (DTC), YES (FAIRE)"
GS112,Holiday Champagne Mimosa Mixer Kit,Kit,,,,,,,C6-GS112,6,Y,Y,"🎁; YES (B2B), YES (DTC), YES (FAIRE)"
GS113,Holiday Bourbon Cocktail Mixer Set,Kit,,,,,,,C6-GS113,6,Y,Y,"🎁; YES (B2B), YES (DTC), YES (FAIRE)"
GS115,Classic Christmas Cafe Mixer Trio,Kit,,,,,,,C6-GS115,6,Y,Y,"🎁; YES (B2B), YES (DTC), YES (FAIRE)"
GS116,Hot Cocoa Martini Mixer Kit,Kit,,,,,,,C6-GS116,6,Y,Y,"🎁; YES (B2B), YES (DTC), YES (FAIRE)"
GS117,L’Chaim Martini Mixer Trio,Kit,,,,,,,C6-GS117,6,Y,Y,"🎁; YES (B2B), YES (DTC), YES (FAIRE)"
GS118,Sameach Café Mixer Trio,Kit,,,,,,,C6-GS118,6,Y,Y,"🎁; YES (B2B), YES (DTC), YES (FAIRE)"
GS119,Share the Light,Kit,,,,,,,C6-GS119,6,Y,Y,"🎁; YES (B2B), YES (DTC), YES (FAIRE)"
GS114,Candy Cane Cookie Latte Cafe Set,Kit,,,,,,,C6-GS114,6,Y,Y,"🎁; DISCONTINUING, YES (B2B), YES (DTC), YES (FAIRE); marked xx in source"
GS037-PK,Birthday Cafe Blush,Kit,,,,,,,C6-GS037-PK,6,Y,Y,"🎉; YES (B2B), YES (DTC), YES (FAIRE)"
GS037-WH,Birthday Cake Party Kit,Kit,,,,,,,C6-GS037-WH,6,Y,Y,"🎉; YES (B2B), YES (DTC), YES (FAIRE)"
GS087,A 'Tini Bit Older Martini Mixer Kit,Kit,,,,,,,C6-GS087,6,Y,Y,"🎉; YES (B2B), YES (DTC), YES (FAIRE)"
GS082,Mom-Mosa Mimosa Mixer Trio,Kit,,,,,,,C6-GS082,6,Y,Y,"🎉; YES (B2B), YES (DTC), YES (FAIRE)"
GS083,Best Mom Ever Martini Mixer,Kit,,,,,,,C6-GS083,6,Y,Y,"🎉; YES (B2B), YES (DTC), YES (FAIRE)"
GS085,Best Dad Ever Cocktail Mixer Kit,Kit,,,,,,,C6-GS085,6,Y,Y,"🎉; YES (B2B), YES (DTC), YES (FAIRE)"
GS088,Love you Dad Cafe Mixer Kit,Kit,,,,,,,C6-GS088,6,Y,Y,"🎉; YES (B2B), YES (DTC), YES (FAIRE)"
GS090,HOORAY Shimmering Mimosa Trio,Kit,,,,,,,C6-GS090,6,Y,Y,"🎉; YES (B2B), YES (DTC), YES (FAIRE)"
GS091-BK,Congratulations Mixer Trio - Black Box,Kit,,,,,,,C6-GS091-BK,6,Y,Y,"🎉; YES (B2B), YES (DTC), YES (FAIRE)"
GS091-WH,Congratulations Mixer Trio - White Box,Kit,,,,,,,C6-GS091-WH,6,Y,Y,"🎉; YES (B2B), YES (DTC), YES (FAIRE)"
GS092-BK,ConGRADtulations Mixer Trio - Black Box,Kit,,,,,,,C6-GS092-BK,6,Y,Y,"🎉; YES (B2B), YES (DTC), YES (FAIRE)"
GS092-WH,ConGRADtulations Mixer Trio - White Box,Kit,,,,,,,C6-GS092-WH,6,Y,Y,"🎉; YES (B2B), YES (DTC), YES (FAIRE)"
GS150,Cheers to the Bride & Groom - Champagne Toast Mixer Kit,Kit,,,,,,,C6-GS150,6,Y,Y,"💍; YES (B2B), YES (DTC), YES (FAIRE)"
GS151-G,Cheers to the Bride (Gold Insert - Cream Label)  - Champagne Toast Mixer Kit,Kit,,,,,,,C6-GS151-WH,6,Y,Y,"💍; YES (B2B), YES (DTC), YES (FAIRE)"
GS151-SV,Cheers to the Bride (Silver Insert - Blue Label) - Champagne Toast Mixer Kit,Kit,,,,,,,C6-GS151-BU,6,Y,Y,"💍; YES (B2B), YES (DTC), YES (FAIRE)"
GS152,Bridesmaid Proposal - Champagne Toast Mixer Kit,Kit,,,,,,,C6-GS152,6,Y,Y,"💍; YES (B2B), YES (DTC), YES (FAIRE)"
GS153,Groomsmen Proposal - Bourbon Cocktail Mixer Kit,Kit,,,,,,,C6-GS153,6,Y,Y,"💍; YES (B2B), YES (DTC), YES (FAIRE)"
GS154,Bachelortte Party Shimmering Mimosa Trio,Kit,,,,,,,C6-GS154,6,Y,Y,"💍; YES (B2B), YES (DTC), YES (FAIRE)"
GS155,Let's Go Girls Shimmering Mimosa Trio,Kit,,,,,,,C6-GS155,6,Y,Y,"💍; YES (B2B), YES (DTC), YES (FAIRE)"
GS095,Pecan Pie Latte Mixer Kit,Kit,,,,,,,C6-GS095,6,Y,Y,"🥧; YES (B2B), YES (DTC), YES (FAIRE)"
GS096,Tiramisu Martini Cocktail Mixer Kit,Kit,,,,,,,C6-GS096,6,Y,Y,"🥧; YES (B2B), YES (DTC), YES (FAIRE)"
GS097,Maple Crumble old Fashioned,Kit,,,,,,,C6-GS097,6,Y,Y,"🥧; YES (B2B), YES (DTC), YES (FAIRE)"
GS098,Pie Flight Mimosa Mixer Kit,Kit,,,,,,,C6-GS098,6,Y,Y,"🥧; YES (B2B), YES (DTC), YES (FAIRE)"
GS099,Coconut Cream Matcha Latte Kit,Kit,,,,,,,C6-GS099,6,Y,Y,"🥧; YES (B2B), YES (DTC), YES (FAIRE)"
