lm_code,flavor_number,name,category,category_name,cap_color,cubes_per_tube
LM001-GC,001,Rose,GC,Gourmet Cafe,Rust,6
LM002-PC,002,Vanilla,PC,Premium Cocktail,Green,6
LM002-GC,002,Vanilla,GC,Gourmet Cafe,Rust,6
LM003-GC,003,London Fog,GC,Gourmet Cafe,Rust,6
LM004-PC,004,Salted Caramel,PC,Premium Cocktail,Green,6
LM004-GC,004,Salted Caramel,GC,Gourmet Cafe,Rust,6
LM005-BL,005,Strawberry Bellini,BL,Bellini,Cream,6
LM005-GC,005,Strawberry,GC,Gourmet Cafe,Rust,6
LM006-GC,006,Peach,GC,Gourmet Cafe,Rust,6
LM006-BL,006,Peach Bellini,BL,Bellini,Cream,6
LM007-BL,007,Raspberry Bellini,BL,Bellini,Cream,6
LM008-PM,008,Shimmer Grapefruit,PM,Premium Mimosa,Cream,6
LM009-PM,009,Arcadia Orange,PM,Premium Mimosa,Cream,6
LM010-PM,010,Shimmer Lemon,PM,Premium Mimosa,Cream,6
LM010-GC,010,Shimmer Lemon,GC,Gourmet Cafe,Rust,6
LM011-PC,011,Moscow Mule,PC,Premium Cocktail,Green,6
LM012-PC,012,Old Fashioned,PC,Premium Cocktail,Green,6
LM013-PC,013,Manhattan,PC,Premium Cocktail,Green,6
LM014-PC,014,Mint Julep,PC,Premium Cocktail,Green,6
LM015-PC,015,Mojito,PC,Premium Cocktail,Green,6
LM069-PC,015,Mint & Lime,PC,Premium Cocktail,Green,6
LM016-PC,016,Shimmer Cosmo,PC,Premium Cocktail,Green,6
LM086-PC,016,Coven Cranberry,PC,Premium Cocktail,Green,6
LM017-PC,017,Pumpkin Spice,PC,Premium Cocktail,Green,6
LM115-PM,017,Pumpkin Pie,PM,Premium Mimosa,Cream,6
LM018-PC,018,Spiced Apple Toddy,PC,Premium Cocktail,Green,6
LM019-GC,019,White Peppermint Mocha,GC,Gourmet Cafe,Rust,6
LM020-CB,020,Cream,GC,Gourmet Cafe,Rust,6
LM021-PC,021,Vanilla Brown Sugar,PC,Premium Cocktail,Green,6
LM021-GC,021,Vanilla Brown Sugar,GC,Gourmet Cafe,Rust,6
LM022-PC,022,Chocolate,PC,Premium Cocktail,Green,6
LM023-PC,023,White Chocolate Cocoa,PC,Premium Cocktail,Green,6
LM023-GC,023,White Chocolate Mocha,GC,Gourmet Cafe,Rust,6
LM024-PC,024,Classic Cocoa,PC,Premium Cocktail,Green,6
LM024-GC,024,Classic Cocoa,GC,Gourmet Cafe,Rust,6
LM025-GC,025,Matcha,GC,Gourmet Cafe,Rust,6
LM033-PC,033,Espresso,PC,Premium Cocktail,Green,6
LM034-PC,034,Espresso Martini,PC,Premium Cocktail,Green,6
LM035-PM,035,Shimmer Strawberry,PM,Premium Mimosa,Cream,6
LM036-PM,036,Shimmer Peach,PM,Premium Mimosa,Cream,6
LM037-SP,037,Shimmer White Raspberry,SP,Spritz,Cream,6
LM037-PM,037,Shimmer Raspberry,PM,Premium Mimosa,Cream,6
LM039-PM,039,Shimmer Orange,PM,Premium Mimosa,Cream,6
