parent_sku,mini_sku,label_code,qty,cubes_per_tube,notes
GS002,,LM006-GC,1,6,
GS002,,LM005-GC,1,6,
GS002-BG,SM006-BL,LM006-BL,1,6,
GS002-BG,,LM005-BL,1,6,
GS002-BG,SM007-BL,LM007-BL,1,6,
GS002-BP,SM006-BL,LM006-BL,1,6,
GS002-BP,,LM005-BL,1,6,
GS002-BP,SM007-BL,LM007-BL,1,6,
GS002-CB,SM006-BL,LM006-BL,1,6,
GS002-CB,,LM005-BL,1,6,
GS002-CB,SM007-BL,LM007-BL,1,6,
GS003,SM011-PC,LM011-PC,1,6,
GS003,SM013-PC,LM013-PC,1,6,
GS003,SM012-PC,LM012-PC,1,6,
GS005,SM009-PM,LM009-PM,1,6,
GS037-PK,,LM041-GR,1,0,Rimmer
GS037-PK,,LM042-GC,1,6,
GS037-WH,,LM041-GR,1,0,Rimmer
GS037-WH,,LM042-GC,1,6,
GS051,,LM005-BL,1,6,
GS051,SM001-GC,LM001-GC,1,6,
GS068,,LM006-GC,1,6,
GS068,,LM068-GC,1,6,
GS068,,LM010-GC,1,6,
GS069,SM023-GC,LM023-GC,1,6,
GS069,SM049-GC,LM049-GC,1,6,
GS069,,LM082-GC,1,6,
GS071,,LM055-PM,1,6,
GS071,,LM056-SP,1,6,
GS071,,LM057-SP,1,6,
GS078,,LM080-GC,1,6,
GS078,,LM081-GC,1,6,
GS078,SM049-GC,LM049-GC,1,6,
GS082,,LM039-PM,1,6,
GS082,SM008-PM,LM008-PM,1,6,
GS082,SM010-PM,LM010-PM,1,6,
GS083,SM034-PC,LM034-PC,1,6,
GS083,SM016-PC,LM016-PC,1,6,
GS083,SM058-PC,LM058-PC,1,6,
GS085,SM013-PC,LM013-PC,1,6,
GS085,SM012-PC,LM012-PC,1,6,
GS085,SM119-PC,LM119-PC,1,6,
GS087,,LM041-GR,1,0,Rimmer
GS087,SM034-PC,LM034-PC,1,6,
GS087,,LM043-PC,1,6,
GS088,,LM002-PC,1,6,
GS088,SM004-GC,LM004-GC,1,6,
GS088,SM049-GC,LM049-GC,1,6,
GS090,,LM039-PM,1,6,
GS090,SM008-PM,LM008-PM,1,6,
GS090,SM010-PM,LM010-PM,1,6,
GS091-BK,SM006-BL,LM006-BL,1,6,
GS091-BK,,LM005-BL,1,6,
GS091-BK,SM007-BL,LM007-BL,1,6,
GS091-WH,SM006-BL,LM006-BL,1,6,
GS091-WH,,LM005-BL,1,6,
GS091-WH,SM007-BL,LM007-BL,1,6,
GS092-BK,SM006-BL,LM006-BL,1,6,
GS092-BK,,LM005-BL,1,6,
GS092-BK,SM007-BL,LM007-BL,1,6,
GS092-WH,SM006-BL,LM006-BL,1,6,
GS092-WH,,LM005-BL,1,6,
GS092-WH,SM007-BL,LM007-BL,1,6,
GS095,,LM021-GC,1,6,
GS095,,LM092-GC,1,6,
GS095,,LM117-GC,1,6,
GS096,,LM033-PC,1,6,
GS096,,LM022-PC,1,6,
GS096,,LM082-PC,1,6,
GS097,SM012-PC,LM012-PC,1,6,
GS097,,LM021-PC,1,6,
GS097,,LM098-PC,1,6,
GS098,,LM109-PM,1,6,
GS098,,LM115-PM,1,6,
GS098,,LM110-PM,1,6,
GS099,,LM025-GC,1,6,
GS099,,LM111-GC,1,6,
GS099,,LM113-GR,1,0,Rimmer
GS100,,LM036-PM,1,6,
GS100,,LM037-PM,1,6,
GS100,,LM035-PM,1,6,
GS101,,LM063-GR,1,0,Rimmer
GS101,SM004-GC,LM004-GC,1,6,
GS101,,LM102-GC,1,6,
GS102,SM006-BL,LM006-BL,1,6,
GS102,SM007-BL,LM007-BL,1,6,
GS102,,LM005-BL,1,6,
GS103,SM013-PC,LM013-PC,1,6,
GS103,SM012-PC,LM012-PC,1,6,
GS103,SM119-PC,LM119-PC,1,6,
GS104,SM016-PC,LM016-PC,1,6,
GS104,SM034-PC,LM034-PC,1,6,
GS104,SM058-PC,LM058-PC,1,6,
GS105,,LM039-PM,1,6,
GS105,SM008-PM,LM008-PM,1,6,
GS105,SM010-PM,LM010-PM,1,6,
GS106,SM002-GC,LM002-GC,1,6,
GS106,SM004-GC,LM004-GC,1,6,
GS106,SM049-GC,LM049-GC,1,6,
GS107,,LM003-GC,1,6,
GS107,,LM106-GC,1,6,
GS107,SM004-GC,LM004-GC,1,6,
GS110,,LM062-GC,1,6,
GS110,SM049-GC,LM049-GC,1,6,
GS111,,LM065-GR,1,0,Rimmer
GS111,,LM023-PC,1,6,
GS111,,LM047-PC,1,6,
GS120,,LM092-PC,1,6,
GS120,,LM102-PC,1,6,
GS120,,LM099-PC,1,6,
GS121,,LM093-PC,1,6,
GS121,,LM097-PC,1,6,
GS121,,LM098-PC,1,6,
GS122,,LM055-SP,1,6,
GS122,,LM056-SP,1,6,
GS122,,LM057-SP,1,6,
GS123,,LM094-AW,1,6,
GS123,,LM112-AW,1,6,
GS123,,LM087-AW,1,6,
GS124,,LM100-PC,1,6,
GS124,SM034-PC,LM034-PC,1,6,
GS124,,LM102-PC,1,6,
GS125,,LM088-PM,1,6,
GS125,,LM104-PM,1,6,
GS125,,LM093-PM,1,6,
GS126,,LM105-PC,1,6,
GS126,SM012-PC,LM012-PC,1,6,
GS126,,LM044-PC,1,6,
GS127,,LM049-AW,1,6,
GS127,,LM093-AW,1,6,
GS127,,LM098-AW,1,6,
GS128,,LM098-GC,1,6,
GS128,,LM102-GC,1,6,
GS128,,LM101-GC,1,6,
GS129,SM004-GC,LM004-GC,1,6,
GS129,,LM082-GC,1,6,
GS129,,LM102-GC,1,6,
GS141,,LM120-CB,1,6,
GS141,,LM020-CB,1,6,
GS141,,LM055-CB,1,6,
GS142,,LM121-CB,1,6,
GS142,,LM123-CB,1,6,
GS142,,LM124-CB,1,6,
GS143,,LM037-SP,1,6,
GS143,,LM055-SP,1,6,
GS143,,LM124-SP,1,6,
GS144,,LM005-GC,1,6,
GS144,,LM124-GC,1,6,
GS145,,LM069-PC,1,6,
GS145,,LM124-PC,1,6,
GS146,,LM086-PC,1,6,
GS146,,LM085-PC,1,6,
GS146,,LM067-GR,1,0,Rimmer
GS147,,LM103-GC,1,6,
GS147,,LM084-GC,1,6,
GS147,,LM092-GC,1,6,
GS148,,LM054-PC,1,6,
GS148,,LM004-PC,1,6,
GS149,,LM088-PM,1,6,
GS149,,LM104-PM,1,6,
GS149,,LM055-PM,1,6,
GS150,SM006-BL,LM006-BL,1,6,
GS150,,LM005-BL,1,6,
GS150,SM007-BL,LM007-BL,1,6,
GS151-G,SM006-BL,LM006-BL,1,6,
GS151-G,,LM005-BL,1,6,
GS151-G,SM007-BL,LM007-BL,1,6,
GS151-SV,SM006-BL,LM006-BL,1,6,
GS151-SV,,LM005-BL,1,6,
